firstname,lastname,avg_rating
Peter,Orlean,3
Luke,Batten,5
Sanja,Koric,5
Rebekah,Gilbert,2.6
Melissa,Orlie,3.375
Mikhail,Lyubansky,4
Wilfred,Donk,4
Matthew,Sherburne,3.3333
James,Lansing,3
Sung,Shin,1
Hyun,Kang,4
Michael,Krassa,3
Daniel,Petrella,4
Polanco,Encarnacion,3
Arindam,Roy,4
John,Trach,2.75
Esther,Heinz,5
Ilia,Kapovitch,4
Roma,Rofes,4
Mark,Fletcher,5
Susan,Martinis,5
Sara,Bordowitz,2
Richard,Weinzierl,4.2
Daniel,Kelly,3
Michael,Leblanc,3
Peter,Garrett,5
Jose,Peralta,4
Xinxin,Feng,3
Carla,Hunter,3
Jan,Brooks,5
Hendricksen,,3.3333
German,Bollero,4.75
Troy,Cooper,4.5
Hannah,Chan,3
B.,Spencer,4.1667
Kevin,O'Leary,5
Fay,Hodza,5
Jennifer,Scott,5
Weimo,Zhu,5
Konstantinos,Travlos,3.3333
Andrew,Chung,5
Peter,Griffin,5
Pratik,Randeria,5
Kenneth,Berg,1
Suhail,Barot,5
Michael,Williams,2
Rachel,Schwartz,5
Rashid,Bashir,5
Rajendra,Jain,3
Robin,Kravets,1.8
Steven,Smith,5
Anthony,Yannarell,3.6667
Lynette,Barnes,2.5
Steven,Luke,5
Kelly,Innes,5
A.,Rayburn,3.8333
Stephen,Notaro,4.6316
Kenneth,Suslick,4.6667
Anshul,Kogar,5
Leslie,Reagan,1.6
Dimitrios,Kyritsis,5
Lucas,Anderson,4.5
Soo-Yeun,Lee,4
Paul,Kornbluh,5
Douglas,Mitchell,1
David,Mertens,5
Alexis,Dyschkant,5
Jennifer,McNeilly,4
Paul,Hergenrother,3.3333
Kai-Wing,Chow,2
Patricia,Stoller,3.7143
Nancy,Hertzog,1
Florencia,Henshaw,4.25
Gavin,Horn,4
J.,Litchfield,3.3333
Madeline,Weikert,4.5
Ralph,Johnson,5
Jian,Shang,3.8
Lujun,Guo,3
Reginald,Alston,5
Thanh,Nguyen,4
Stanley,Ambrose,4.3333
Emily,Parrott,3.3333
Yewon,Gim,4
Micah,Riecker,5
Heather,Blain,4
Noha,Elsakka,4.3333
Kate,Grim-Feinberg,1
Donald,Stenzel,5
John,Jones,4
Bruce,Flachsbart,4
Margaret,McCurdy,3
Leonard,Pitt,3.75
Mehdi,Shadmehr,3
Mahdi,Rastad,3
Jeffrey,Trask,3.875
Emily,Shaw,5
Mary,Kraft,3
Ericka,Beckman,1
Lisa,Gundersen,3.0526
Michael,Miles,3
Gokhan,Atinc,1
Jenny,Singleton,5
Moon-Kie,Jung,4
Prashant,Mehta,3.5
Parthiban,Muniandy,5
Dominguez-Garcia,,3.3333
Jonathan,Makela,4.5
Edward,Hertenstein,3
Donald,Decoste,4.4524
David,Saintillan,4.3333
Nora,Csima,2.625
H.,Murdoch,3
Cynthia,Wachter,3.75
Daniel,Abrams,3.6667
Francisco,Gallart,3.8333
Rinat,Kedem,2.75
Chia,Chang,5
Beth,Morgan,3.3333
Bartlomiej,Siudeja,3.5
Mary,Ramey,4.3333
David,Cahill,2.5
Jill,Fitzgerald,4
Kirk,Stodola,1
Renee,Baillargeon,3.6667
Daniel,Schneider,4.3333
Junho,Song,4.5
Heejeong,Jeong,1
Stephen,Peters,4.3333
Iryce,Baron,5
Ott-Monsivais,,4
Margareth,Etienne,2
Damarys,Canache,3.5
Eric,Snodgrass,4.9844
Brian,Lilly,4.5
Brent,McBride,3.25
Katzenellenbogen,,3.3333
Sandra,Lucas,5
Gregory,Meyer,5
Michael,Woodley,5
Susan,Weiss,3
Shichang,Song,3.5
Robert,Gennis,3.4
John,Edgington,5
Tina,Huang,3.2222
Gretchen,Adams,4.7586
Lisa,Monda-Amaya,3
Andreas,Polycarpou,4.5
Alisha,Lewis,5
Ralph,Mathisen,1.5
Christian,Ray,4.3243
Behice,Ilhan,5
Carol,Symes,3.625
R.,Pandharipande,3
Rebecca,Sandefur,3.5
Rakesh,Kumar,2.2
James,Eden,5
Wendy,Truran,4
Larry,Di,5
Avani,Patel,5
Samuel,Pera,4
Wenxuan,Zhong,1.5
James,Phillips,3.2
Brian,Demarco,1.5
Charles,Whitfield,1.5
Kevin,Jackson,5
Gabriel,Solis,4
Brenden,Carollo,4
Linda,Smith,5
David,Porter,4
David,Dalpiaz,3.8333
Tamilia,Reed,4
Flavia,Andrade,4
Jung,Pyo,5
Walter,Harrington,3
Chad,Rienstra,4
Meng,Li,3
Daniel,Bradley,5
Dave,Grych,3
Perzavia,Praylow,3
Kimiko,Gunji,4
William,Griswold,5
Linda,Garrow,3.3333
Marina,Miletic,3
Gary,Dell,3.8333
Yuan,Fu,2
Jennifer,Fraterrigo,4
Justin,Hanson,2
Martin,Wu,2
David,Remmert,4.3
Xiaoting,Li,4
James,Sowa,2
John,Weaver,2
Lisa,Dixon,1
Aimo,Hinkkanen,4.3333
John,Rubins,5
Nancy,Blake,4.6667
Scott,Irwin,4
Julie,Son,5
Carla,Costa,4
Michelle,Wander,4.6667
Jimmy,Wong,4
Vincent,Ip,5
Bjorn,Malekin,4.5
Elizabeth,Glogowski,4
Steven,Michael,5
Corina,Lacatus,5
Jose,Vazquez,4.05
Richard,Layton,4.125
William,King,2
Ruby,Mendenhall,2
Andrew,Arana,4.5
Feisal,Mohamed,4.5
Christopher,Freeburg,4
